Email,Score
Email 581,0.000909
Email 582,0.000356
Email 583,0.001080
Email 584,0.000622
Email 585,0.000391
Email 586,0.000436
Email 587,0.000094
Email 588,0.000684
Email 589,0.000151
Email 590,0.001400
Email 591,0.000888
Email 592,0.002667
Email 593,0.001117
Email 594,0.000346
Email 595,0.001289
Email 596,0.001534
Email 597,0.000162
Email 598,0.002061
Email 599,0.002472
Email 600,0.001180
Email 601,0.001426
Email 602,0.000899
Email 603,0.000271
Email 604,0.001584
Email 605,0.001096
Email 606,0.000927
Email 607,0.000000
Email 608,0.000770
Email 609,0.000691
Email 610,0.001059
Email 611,0.000272
Email 612,0.000882
Email 613,0.000861
Email 614,0.001122
Email 615,0.000915
Email 616,0.001467
Email 617,0.000863
Email 618,0.000630
Email 619,0.000453
Email 620,0.001431
Email 621,0.000595
Email 622,0.000741
Email 623,0.000772
Email 624,0.000299
Email 625,0.000689
Email 626,0.001870
Email 627,0.000816
Email 628,0.000588
Email 629,0.001728
Email 630,0.000513
Email 631,0.000119
Email 632,0.003717
Email 633,0.001745
Email 634,0.000703
Email 635,0.001514
Email 636,0.000762
Email 637,0.001205
Email 638,0.000098
Email 639,0.001032
Email 640,0.000962
Email 641,0.001265
Email 642,0.001470
Email 643,0.000154
Email 644,0.000611
Email 645,0.000204
Email 646,0.000197
Email 647,0.002055
Email 648,0.000721
Email 649,0.000203
Email 650,0.000548
Email 651,0.000214
Email 652,0.001360
Email 653,0.000680
Email 654,0.000781
Email 655,0.000722
Email 656,0.000588
Email 657,0.001029
Email 658,0.000277
Email 659,0.000463
Email 660,0.000133
Email 661,0.001361
Email 662,0.000604
Email 663,0.001395
Email 664,0.000693
Email 665,0.000077
Email 666,0.000507
Email 667,0.000753
Email 668,0.000449
Email 669,0.000078
Email 670,0.000956
Email 671,0.001041
Email 672,0.000398
Email 673,0.000763
Email 674,0.000132
Email 675,0.000772
Email 676,0.000415
Email 677,0.000648
Email 678,0.000512
Email 679,0.001010
Email 680,0.000994
Email 681,0.000768
Email 682,0.000697
Email 683,0.001524
Email 684,0.000449
Email 685,0.000071
Email 686,0.000719
Email 687,0.001361
Email 688,0.002470
Email 689,0.000222
Email 690,0.000695
Email 691,0.000991
Email 692,0.000686
Email 693,0.000765
Email 694,0.000383
Email 695,0.000152
Email 696,0.000739
Email 697,0.003814
Email 698,0.000726
Email 699,0.000730
Email 700,0.000880
Email 701,0.000000
Email 702,0.000539
Email 703,0.000201
Email 704,0.001030
Email 705,0.000484
Email 706,0.001420
Email 707,0.001826
Email 708,0.000117
Email 709,0.000563
Email 710,0.000898
Email 711,0.001275
Email 712,0.002035
Email 713,0.001196
Email 714,0.000796
Email 715,0.000486
Email 716,0.000149
Email 717,0.002066
Email 718,0.000843
Email 719,0.001441
